hotel,hotel_url,description,popular_facilities,highres_url,city,country
Villa Botero By Casa Mojito,https://www.booking.com/hotel/pa/villa-botero-by-casa-mojito.es.html?aid=2410095,"Villa Botero. La By Casa Mojito se encuentra en Santa Clara. Hay conexión WiFi gratuita y aparcamiento privado gratuito. Se incluye un desayuno francés con pan y cruasanes caseros.

Las habitaciones disponen de TV vía satélite, aire acondicionado y terraza. También hay nevera y baño privado con ducha y artículos de aseo gratuitos. Las habitaciones ofrecen vistas a la piscina.

La Villa Botero. La By Casa Mojito cuenta con jardín y terraza. El establecimiento también dispone de servicio de lavandería.

El aeropuerto internacional Scarlett Martínez se encuentra a 5 minutos en coche.","Baño privado, Masaje de cabeza, Zona de fumadores, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Masaje de espalda, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Camas extralargas (más de 2 metros), Submarinismo, Guardaequipaje, Nevera, Para todas las edades, Horario de apertura, Fruta, Fax / fotocopiadora, Vistas al jardín, Francés, Snorkel, Masaje de manos, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Masaje de pies, Escritorio, Extintores, Parking en un garaje, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Tetera / cafetera, Bar, Habitaciones familiares, Vestidor, Pesca, Toallas de playa/piscina, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Bañera o ducha, Sombrillas, Papel higiénico, Masaje corporal completo, Llave de acceso, Tour o clase sobre cultura local, Toallas, Mosquitera, Tumbonas/sillas de playa, Tetera/cafetera en todas las habitaciones, Servicio de traslado, Equitación, Artículos de aseo gratis, Perchero, Dardos, Libros, DVD o música para niños, Armario, Toda la unidad en la planta baja, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/328534112.jpg?k=2474f90af1daa27eb4e5b592f4c6c397b770b3a65cc899996d51e1bacc944440&o=&hp=1,Santa Clara,Panamá
The Corner Hostel,https://www.booking.com/hotel/pa/the-corner-hostel.es.html?aid=2410095,"The Corner Hostel está en Playa Blanca, a pocos pasos de Playa Farallón, y dispone de alojamiento con jardín, parking privado gratis, terraza y zona de barbacoa. El alojamiento se encuentra a 1,8 km de Playa Santa Clara. El alojamiento ofrece cocina compartida y wifi gratis.

Cada habitación cuenta con baño privado con ducha, algunas ofrecen balcón y otras también cuentan con vistas al mar. Las unidades disponen de ropa de cama.

Puedes jugar al ping-pong en el albergue.

El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 116 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de entrega de comestibles, Muy buen desayuno, WiFi gratis, Mobiliario exterior, Servicio de traslado, Menú para niños, Toallas / sábanas (por un suplemento), Extintores, Parking en un garaje, Barbacoa, Enchufe cerca de la cama, Juegos de mesa / puzles, Piscina al aire libre, Perchero, Abierta todo el año, Playa, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Centro de negocios, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Detectores de humo, Registro de entrada y salida exprés, Boles para mascotas, Inglés, Chimenea exterior, Traslado aeropuerto, Habitaciones sin humo, Ping pong, Servicio de limpieza diario, Jardín, Entretenimiento nocturno, Guardaequipaje, Información turística, Ropa de cama, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/176464242.jpg?k=dd7d6ca9a55fc6c219ebf917750b3d057b16bb6371697c8e715bac3dcb7e4b83&o=&hp=1,Santa Clara,Panamá
Acuarela Hostal,https://www.booking.com/hotel/pa/aquarela-hostal.es.html?aid=2410095,"El Hostal Acuarela, situado en Playa Blanca, en Farallon, ofrece instalaciones coloridas, acceso directo a la playa y WiFi gratuita.

Las habitaciones son amplias y cuentan con aire acondicionado, baño privado y desayuno incluido. También hay una cocina compartida.

El Hostal dispone de zona de aparcamiento, restaurante, cocina, jardín, biblioteca con juegos de mesa, servicio de lavandería, información turística y servicio de traslado al aeropuerto de Tocumen.

Durante la estancia se pueden practicar diversas actividades, como buceo y piragüismo. El establecimiento se encuentra a 5 minutos en coche del aeropuerto Scarlett Martínez y a 30 minutos de El Valle de Antón.","Servicio de planchado, Servicio de entrega de comestibles, Campo de golf (a menos de 3 km), WiFi gratis, Parking en la calle, Mobiliario exterior, Zona de fumadores, Italiano, Fruta, Fax / fotocopiadora, Servicio de traslado, Supermercado pequeño en el alojamiento, Proporciona factura, Barbacoa, Juegos de mesa / puzles, Snack-bar, Snorkel, Alquiler de coches, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Pesca, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Inglés, Servicio de lavandería, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Desayuno fantástico, Jardín, Toda la unidad en la planta baja, Almuerzos para llevar, Información turística, Taquillas, WC, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320856054.jpg?k=e8ac5cb7fd556445c64ab2f16106dae789a25067cace6c5b70e67e6c1d3ab155&o=&hp=1,Santa Clara,Panamá
"Grand Decameron Panama, A Trademark All Inclusive Resort",https://www.booking.com/hotel/pa/royal-decameron-golf-beach-resort.es.html?aid=2410095,"Offering bright accommodation with terraces, Grand Decameron Panama, A Trademark All Inclusive Resort features 6 swimming pools and 9 restaurants. It offers Pacific Ocean views from its setting on Playa Blanca Beach.

Guests can choose from buffet and à la carte options for dinner: Panamanian, Italian, Mexican, Seafood, Steakhouse and Mediterranean. There are also 8 bars, including 7 swimming pools and service that includes alcoholic and non-alcoholic beverages.

Free WiFi acces is available in the resort's lobbys.

Set in tropical gardens, the Grand Decameron Panama, A Trademark All Inclusive Resort has a beautiful setting 30 minutes’ drive from Anton. Panama City is approximately 120 km away.

When booking 5 rooms or more, different policies may apply, as requesting a total prepayment.

We also count witha Gym and fields to play soccer, basket ball and volleyball.

There are cribs depending on availability.","Baño privado, Menú para niños, Proporciona factura, Servicios de maquillaje, Servicio de despertador, Pista de tenis, Abierta todo el año, Playa, Instalaciones para deportes acuáticos en el alojamiento, Servicios de depilación, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Vino / champán, Habitaciones sin humo, Instalaciones de spa, Guardaequipaje, Para todas las edades, Balcón, Solo para adultos, Club infantil, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Spa y centro de bienestar, 6 piscinas, Salas de reuniones / banquetes, Fax / fotocopiadora, Zona de estar, Francés, Snorkel, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Español, Buffet para niños, Adaptado personas de movilidad reducida, Zona privada de playa, Traslado aeropuerto, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Manicura, Terraza, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Canales por cable, Corte de pelo, Escritorio, Extintores, Clases de fitness, Piscina con vistas, Enchufe cerca de la cama, Equipamiento de tenis, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Discoteca / DJ, Habitaciones familiares, Pesca, Toallas de playa/piscina, Situado frente a la playa, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Billar, Tratamientos faciales, Sombrillas, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Tratamientos capilares, Entretenimiento nocturno, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Servicio de traslado, Windsurf, 9 restaurantes, Bingo, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Tinte, Peinado, Centro de negocios, Personal de animación, Pedicura, Sofá cama, Servicios de belleza, Tratamientos corporales, Armario, Bar en la piscina, Tobogán de agua, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/115941501.jpg?k=8733e8e1403f13a234222d40f94ca118cc0d5bcb391aa287452becf643c1b143&o=&hp=1,Santa Clara,Panamá
Taca Tucan Hostel,https://www.booking.com/hotel/pa/ciko-hostel-farallon-panama.es.html?aid=2410095,"El Taca Tucan Hostel Farallon Panama ofrece un alojamiento que acepta mascotas en Playa Blanca, a 30 km de Penonomé.

Las habitaciones disponen de baño compartido y acceso a una cocina compartida. El establecimiento puede organizar actividades como esquí acuático, parasailing, paintball, pesca y paseos a caballo. También hay servicio de alquiler de coches, casino y restaurantes en la vecindad.

El Taca Tucan Hostel Farallon Panama se encuentra a 33 km de Playa Coronado y a 3,8 km de Santa Clara. El aeropuerto internacional de Tocumen está a unos 90 minutos en coche, mientras que el aeropuerto local de Río Hato se encuentra a solo 10 minutos en coche.","Zona TV / salón de uso compartido, Servicio de entrega de comestibles, WiFi gratis, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Baño compartido, Fruta, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Zona de comedor exterior, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Francés, Playa, Aire acondicionado, Libros, DVD o música para niños, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Español, Detectores de humo, Inglés, Servicio de lavandería, Boles para mascotas, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Jardín, Alarma de seguridad, Toda la unidad en la planta baja, Toallas, Guardaequipaje, Ropa de cama, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552955264.jpg?k=9f7d2e47c5189044bd0eb671114871a140cfaa3e043f9bfb145543a05b231642&o=&hp=1,Santa Clara,Panamá
Bed & Breakfast T.T,https://www.booking.com/hotel/pa/bed-breakfast-tt.es.html?aid=2410095,"Bed & Breakfast T.T está en Río Hato y dispone de vistas al jardín, jardín, salón de uso común, terraza y bar. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

En Bed & Breakfast T.T se puede disfrutar de un desayuno continental.

Playa Santa Clara está a pocos pasos del alojamiento. El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 112 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Campo de golf (a menos de 3 km), Muy buen desayuno, WiFi gratis, Vistas, Mobiliario exterior, Proporciona factura, Equitación, Parking en un garaje, Barbacoa, Vistas al jardín, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Francés, Artículos de aseo gratis, Perchero, Bar, Playa, Aire acondicionado, Tours a pie, Masajes, Pesca, Ducha, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Piragüismo, Inglés, Bañera o ducha, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Vino / champán, Sombrillas, Jardín, Toda la unidad en la planta baja, Cafetería en el alojamiento, Toallas, Ropa de cama, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/150317213.jpg?k=136ffe3521d8d92558e9a5c1d8d614f287143984392f29ceb92bc0855c547985&o=&hp=1,Santa Clara,Panamá
"Exclusivo, Moderno y Cómodo Apto temático con hermosa Vista al Mar",https://www.booking.com/hotel/pa/pasadia-en-playa-blanca.es.html?aid=2410095,"Exclusivo, Moderno y Cómodo Apto temático con hermosa Vista al Mar, que cuenta con piscina al aire libre, jardín y terraza, ofrece alojamiento en Playa Blanca con wifi gratis y vistas al mar. El alojamiento ofrece vistas a la piscina y al río y está a 3 min a pie de Playa Farallón.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 3 baños con bañera o ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

En el apartamento hay parque acuático y zona de juegos infantil.

Playa de Playa Blanca está a 4 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 119 km.","Baño privado, Piscina de agua salada, Lavadora, Toallas / sábanas (por un suplemento), Piscina privada, Proporciona factura, Zona de comedor exterior, Horno, Cafetera, Parque acuático, Pista de tenis, Abierta todo el año, Playa, Entrada privada, TV, Detectores de humo, Zona de juegos para niños, Ruta de bares, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Tours en bici, Nevera, Vistas a un lugar de interés, Acceso a pisos superiores en ascensor, Para todas las edades, Balcón, Prohibido fumar en todo el alojamiento, Tendedero, Horario de apertura, Supermercado pequeño en el alojamiento, Zona de estar, Vistas al jardín, Fogones, Aire acondicionado, Tours a pie, Sofá, Vistas al río, Parking gratis, Español, Zona privada de playa, Mesa de comedor, Vistas al lago, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Vistas a la piscina, Independiente, Cocina, WiFi gratis, Vistas, Calefacción, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Extintores, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Seguridad 24 horas, Patio, Juguetes para la piscina, Habitaciones familiares, Vestidor, Toallas de playa/piscina, Situado frente a la playa, Suelo de baldosa / mármol, Apartamento privado en edificio, Secadora de ropa, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Canales de pago, Zona de cocina, Llave de acceso, Tostadora, Toallas, 2 piscinas, Tumbonas/sillas de playa, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Barbacoa, Artículos de aseo gratis, Ascensor, Vistas al mar, Armario, Bar en la piscina, Tobogán de agua, Microondas, Zona de comedor, Zona de pícnic, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/422072581.jpg?k=071e1bac4363fe34bc08e61da5b0d620d4ddc331c35d26d1f2e0c3b335c0701a&o=&hp=1,Santa Clara,Panamá
Kilian,https://www.booking.com/hotel/pa/kilian.es.html?aid=2410095,"Kilian tiene vistas al jardín y se encuentra en Playa Blanca. Cuenta con restaurante, servicio de habitaciones, bar, jardín y terraza. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Se puede descubrir la zona practicando ciclismo en los alrededores.

Playa Farallón está a 6 min a pie del alojamiento, y Playa Santa Clara está a 1,7 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 116 km del alojamiento.","Equipamiento de juegos para exterior, Restaurante, Baño privado, Cenas temáticas, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Ciclismo, Menú para niños, Escritorio, Toallas / sábanas (por un suplemento), Zona de estar, Proporciona factura, Zona de comedor exterior, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Snack-bar, Snorkel, Perchero, Baños públicos, Bar, Playa, Patio, Tours a pie, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Sofá, Entrada privada, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Inglés, Senderismo, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Música / espectáculos en directo, Vino / champán, Servicio de limpieza diario, Jardín, Servicio de conserjería, Llave de acceso, Almuerzos para llevar, Toda la unidad en la planta baja, Happy hour, Tours en bici, Toallas, Submarinismo, Cafetería en el alojamiento, Ropa de cama, Información turística, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427464135.jpg?k=88d429923fe56b208edf7bc74fd85e598a7a70ae9fbb589dac12d1e6e024f7e2&o=&hp=1,Santa Clara,Panamá
Royal Decameron Panama All Inclusive Plus,https://www.booking.com/hotel/pa/royal-decameron-panama-all-inclusive-plus-cocle.es.html?aid=2410095,"El Royal Decameron Panama All Inclusive Plus está ubicado frente a la playa de Playa Blanca y cuenta con piscinas al aire libre, tablas de surf de remo y bebidas prémium gratuitas. El green fee para el campo de golf es gratuito.

Además, este complejo de 4 estrellas tiene pista de tenis y habitaciones con WiFi gratuita y balcón.

Las habitaciones del complejo Royal Decameron Panama All Inclusive Plus disponen de zona de estar, TV de pantalla plana y baño privado. Algunas tienen vistas al mar. Todas están equipadas con armario.

Se sirve un desayuno buffet a diario.

Alberga un centro de fitness. Se pueden practicar varias actividades populares en los alrededores del Royal Decameron Panama All Inclusive Plus, entre ellas snorkel y windsurf.

El personal de la recepción 24 horas habla español e inglés.

Este complejo se encuentra a 38 km de Penonomé y a 40 km de Playa Coronado.","Baño privado, Menú para niños, Proporciona factura, Servicios de maquillaje, Pista de tenis, Abierta todo el año, Playa, Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, Servicios de depilación, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Vino / champán, Habitaciones sin humo, Instalaciones de spa, Submarinismo, Guardaequipaje, Balcón, Club infantil, Restaurante, Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, Spa y centro de bienestar, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Desayuno fabuloso, Snorkel, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Parking gratis, Español, Buffet para niños, Adaptado personas de movilidad reducida, Servicio de lavandería, Traslado aeropuerto, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Manicura, Terraza, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Corte de pelo, Servicio de limpieza en seco, Extintores, Piscina con vistas, Karaoke, Equipamiento de tenis, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Discoteca / DJ, Habitaciones familiares, Pesca, Toallas de playa/piscina, Situado frente a la playa, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Billar, Tratamientos faciales, Exfoliación corporal, Sombrillas, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Tratamientos capilares, Entretenimiento nocturno, Toallas, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Adecuada para niños, Servicio de traslado, Windsurf, 9 restaurantes, Bingo, Artículos de aseo gratis, Snack-bar, Perchero, Tinte, Peinado, Centro de negocios, Personal de animación, Pedicura, Sofá cama, Servicios de belleza, Tratamientos corporales, Armario, Bar en la piscina, Tobogán de agua, Envoltura corporal, Minibar, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/171621550.jpg?k=13208dd82e04043f96f8cfad5a1658e324f9b7bbe64ccbeab854770ad909e48e&o=&hp=1,Santa Clara,Panamá
Kilian Beach House,https://www.booking.com/hotel/pa/kilian-beach-house.es.html?aid=2410095,"Kilian Beach House se encuentra en Playa Blanca, a pocos pasos de Playa Farallón, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. El alojamiento dispone de cocina compartida, servicio de habitaciones y servicio de organización de tours.

Algunas habitaciones también están equipadas con cocina con lavavajillas y microondas.

La clientela puede practicar actividades en Playa Blanca y alrededores, como pesca y ciclismo.

Playa Santa Clara está a 2 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 116 km del alojamiento.","Restaurante, Zona TV / salón de uso compartido, Cenas temáticas, Campo de golf (a menos de 3 km), Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Eventos deportivos en directo (emisión), Ciclismo, Supermercado pequeño en el alojamiento, Baño al aire libre, Proporciona factura, Barbacoa, Desayuno, Juegos de mesa / puzles, Snack-bar, Snorkel, Playa, Aire acondicionado, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Pesca, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Registro de entrada y salida exprés, Ruta de bares, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Música / espectáculos en directo, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Máquina expendedora (bebidas), Sombrillas, Servicio de conserjería, Llave de acceso, Almuerzos para llevar, Happy hour, Tours en bici, Información turística, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334427975.jpg?k=fc48f0e5afcb54afd62d2db4c23afc7a5c831baf240873fc9f4d340cb374c0c7&o=&hp=1,Santa Clara,Panamá
